lead_age_days,email_opens,website_visits,demo_requested,pricing_page_visits,company_size,industry,lead_source,response_time_hours,num_interactions,budget_indicated,decision_maker,converted,conversion_probability,lead_score,lead_grade
52,3,19,0,1,1,3,3,53,6,0,1,0,0.0,0.0,
15,0,34,0,7,1,3,0,16,29,0,0,1,0.86,86.0,Very Hot
72,0,46,0,0,1,4,1,34,27,1,1,0,0.49,49.0,Warm
61,18,1,0,3,1,3,1,27,5,0,0,0,0.01,1.0,Cold
21,15,29,0,9,2,4,0,13,17,0,1,1,0.9,90.0,Very Hot
83,13,33,1,4,1,2,1,27,2,0,0,0,0.19,19.0,Cold
87,15,21,0,8,3,0,0,69,18,1,0,0,0.09,9.0,Cold
75,4,2,0,6,2,0,0,31,10,1,0,0,0.01,1.0,Cold
75,8,5,0,7,3,1,1,3,10,1,1,0,0.03,3.0,Cold
88,1,14,1,8,1,2,2,30,6,1,0,0,0.05,5.0,Cold
24,17,26,1,6,1,3,3,21,27,0,1,1,0.9,90.0,Very Hot
3,5,9,1,4,3,3,1,6,12,0,0,0,0.14,14.0,Cold
22,8,8,0,4,3,2,2,32,17,0,0,0,0.0,0.0,
53,0,32,0,9,3,3,0,42,27,0,1,1,0.88,88.0,Very Hot
2,8,31,0,5,4,1,2,62,13,0,1,0,0.09,9.0,Cold
88,15,47,0,4,4,4,1,32,20,0,0,1,0.93,93.0,Very Hot
30,12,5,0,8,4,0,1,39,28,1,1,1,0.81,81.0,Very Hot
38,8,40,0,2,4,2,2,64,16,0,1,0,0.02,2.0,Cold
2,12,35,0,2,2,0,1,30,10,1,1,1,0.78,78.0,Very Hot
64,8,1,1,6,1,4,3,63,27,1,1,0,0.14,14.0,Cold
60,10,28,0,6,3,2,2,31,21,1,0,1,0.85,85.0,Very Hot
21,3,3,0,5,1,4,0,40,2,1,0,0,0.01,1.0,Cold
33,1,0,0,2,3,3,2,33,2,1,0,0,0.01,1.0,Cold
76,5,18,1,6,1,3,2,63,23,0,0,0,0.08,8.0,Cold
58,13,25,1,4,2,3,2,25,7,0,1,0,0.35,35.0,Warm
22,3,24,1,6,4,4,2,36,6,0,0,0,0.04,4.0,Cold
89,5,9,1,1,1,4,0,24,1,0,0,0,0.02,2.0,Cold
49,18,14,0,5,3,4,0,58,12,1,1,0,0.02,2.0,Cold
59,5,21,0,7,1,0,0,39,13,1,1,0,0.04,4.0,Cold
42,1,47,0,0,2,4,2,46,12,1,1,0,0.24,24.0,Cold
60,17,20,0,3,2,3,3,10,19,0,1,0,0.07,7.0,Cold
80,12,21,0,0,1,1,3,32,9,1,0,0,0.0,0.0,
15,8,35,0,0,4,4,0,36,10,0,1,0,0.06,6.0,Cold
62,18,33,1,9,3,1,3,28,17,1,1,1,0.99,99.0,Very Hot
62,12,29,1,7,2,3,3,16,18,0,0,1,0.96,96.0,Very Hot
47,10,24,1,6,2,4,3,16,8,0,0,0,0.06,6.0,Cold
62,0,44,1,9,1,0,3,18,7,0,0,1,0.82,82.0,Very Hot
51,6,27,0,0,2,0,3,8,9,1,1,0,0.16,16.0,Cold
55,14,0,0,1,2,1,1,70,10,0,0,0,0.0,0.0,
64,0,48,0,3,3,0,0,1,12,0,1,0,0.08,8.0,Cold
3,11,44,0,0,4,0,2,62,15,1,0,0,0.1,10.0,Cold
51,6,3,1,2,3,0,3,38,15,1,0,0,0.03,3.0,Cold
7,14,6,0,7,4,3,1,45,28,0,0,0,0.1,10.0,Cold
21,18,48,1,7,3,0,2,58,4,1,0,1,0.88,88.0,Very Hot
73,0,8,0,7,1,2,1,1,4,0,0,0,0.02,2.0,Cold
39,16,35,0,5,2,4,3,32,23,0,0,1,0.95,95.0,Very Hot
18,16,18,0,5,4,0,3,8,1,0,0,0,0.02,2.0,Cold
4,2,0,0,4,1,0,3,40,26,0,1,0,0.13,13.0,Cold
89,11,9,0,8,2,0,3,56,12,0,1,0,0.04,4.0,Cold
60,5,35,0,3,2,2,2,63,25,0,1,0,0.06,6.0,Cold
14,10,8,1,9,2,0,2,36,2,0,1,0,0.38,38.0,Warm
9,2,44,0,6,3,0,1,57,15,1,1,1,0.9,90.0,Very Hot
53,7,45,0,0,1,4,0,45,17,1,1,0,0.16,16.0,Cold
2,13,41,0,8,1,2,3,2,7,0,0,1,0.96,96.0,Very Hot
84,13,31,0,6,2,2,1,68,6,0,1,0,0.09,9.0,Cold
60,9,31,1,9,4,0,1,50,12,1,1,1,0.77,77.0,Very Hot
71,1,5,0,8,1,2,1,29,19,1,1,0,0.1,10.0,Cold
44,13,47,1,6,3,1,3,10,1,1,1,1,0.88,88.0,Very Hot
8,8,37,0,1,4,2,3,27,28,0,0,0,0.17,17.0,Cold
47,2,16,1,5,4,2,1,15,21,0,1,0,0.08,8.0,Cold
35,7,9,0,9,4,2,3,60,26,1,0,0,0.13,13.0,Cold
78,15,49,0,3,4,3,1,31,14,0,0,1,0.87,87.0,Very Hot
81,1,26,0,2,1,3,2,21,4,1,0,0,0.0,0.0,
36,5,49,0,1,2,3,3,60,5,1,0,0,0.07,7.0,Cold
50,11,34,0,5,4,2,2,58,1,0,0,0,0.03,3.0,Cold
4,4,20,0,7,3,1,0,41,1,0,0,0,0.03,3.0,Cold
2,1,24,0,5,3,2,3,46,21,1,1,0,0.08,8.0,Cold
6,15,27,0,8,2,0,0,45,6,0,0,0,0.2,20.0,Cold
54,4,46,0,4,1,1,1,26,5,0,1,0,0.16,16.0,Cold
4,14,14,1,1,2,3,3,51,2,1,1,0,0.07,7.0,Cold
54,11,3,0,7,4,4,3,36,25,1,1,0,0.11,11.0,Cold
63,3,28,0,8,1,1,3,52,21,0,0,0,0.17,17.0,Cold
18,14,8,0,9,1,3,0,51,27,0,1,1,0.85,85.0,Very Hot
44,10,26,1,3,4,1,0,3,27,1,0,1,0.84,84.0,Very Hot
34,15,25,0,5,3,1,1,14,5,1,0,0,0.06,6.0,Cold
74,5,18,0,9,4,2,2,49,26,1,1,1,0.74,74.0,Hot
62,13,27,1,7,2,0,2,1,9,1,1,1,0.93,93.0,Very Hot
14,17,16,1,8,4,4,0,57,19,0,1,1,0.84,84.0,Very Hot
48,11,42,0,4,3,3,3,17,21,0,0,1,0.96,96.0,Very Hot
15,10,40,0,5,4,1,2,50,15,0,0,0,0.17,17.0,Cold
72,12,41,1,3,2,4,2,14,13,0,0,1,0.64,64.0,Hot
78,10,49,0,4,2,1,0,59,12,0,1,0,0.13,13.0,Cold
87,15,19,0,6,3,0,1,3,5,0,0,0,0.02,2.0,Cold
62,14,44,0,8,2,4,0,40,2,1,1,1,0.96,96.0,Very Hot
40,14,39,1,9,2,3,0,66,27,1,0,1,0.99,99.0,Very Hot
85,3,38,0,5,4,1,3,34,4,1,0,0,0.11,11.0,Cold
80,10,48,1,5,1,0,0,9,27,0,0,1,0.97,97.0,Very Hot
82,18,22,0,7,2,4,3,21,27,0,0,1,0.52,52.0,Hot
53,14,46,0,3,2,1,1,25,18,0,1,1,0.96,96.0,Very Hot
24,3,31,0,2,3,1,3,44,21,1,1,0,0.07,7.0,Cold
26,12,46,0,6,3,3,1,25,10,0,0,1,0.96,96.0,Very Hot
