shap_tenure,shap_monthlycharges,shap_totalcharges,shap_seniorcitizen,shap_partner,shap_dependents,shap_phoneservice,shap_paperlessbilling,shap_gender_encoded,shap_contract_encoded,shap_internetservice_encoded,shap_paymentmethod_encoded,shap_total_value,shap_is_high_value,shap_avg_monthly_total,customerid,churn_probability,predicted_churn,actual_churn,top_churn_reason
0.61455035,-0.5300263,0.44855866,-0.036254838,-0.52092135,0.03980387,0.55891675,-0.013430597,-0.12018711,0.8608003,-0.06541911,0.3829558,-0.31757125,0.00049516826,-1.245628,7590-VHVEG,0.5093853,1,0,contract_encoded
-1.1170772,-0.34958342,-0.8233646,0.027932823,0.118300624,0.082707584,-0.15898386,-0.09964239,-0.078300595,-1.275591,0.050997194,-0.10389125,-0.0984251,-0.0005779126,-0.7963612,5575-GNVDE,0.009556244,0,0,partner
0.77938455,-0.33969146,-0.056941997,0.031167815,0.09389654,0.094038,-0.22097898,-0.09157888,-0.26089188,0.811829,0.05205075,-0.1279476,-0.08103986,0.00049516826,-0.3483828,3668-QPYBK,0.5784251,1,1,contract_encoded
-0.16215321,-0.497435,-1.3603681,0.054574665,-0.09123688,0.13898028,0.67424667,0.15979134,-0.069380045,-1.1573485,-0.02359846,-0.09708239,0.06413686,-0.0005779126,-0.245763,7795-CFOCW,0.0670877,0,0,phoneservice
0.5951038,-0.19360735,-0.14699703,0.08066964,0.12082015,0.051278103,-0.21168636,-0.015278381,0.3791539,1.0001255,0.014377982,0.327341,-0.30353382,0.00049516826,-0.36661017,9237-HQITU,0.78794056,1,1,contract_encoded
0.5668846,1.4296514,-0.1133076,0.017476164,0.054364283,0.16888314,-0.20044544,-0.0016612398,0.32194218,0.9300336,-0.004665869,0.18815215,0.14066522,0.00049516826,0.14450428,9305-CDSKC,0.9740142,1,1,monthlycharges
0.015527142,0.018790944,-0.78005546,0.030028539,0.08780379,-0.42675912,-0.16195378,-0.020340083,-0.34646162,0.69425166,0.08044029,-0.79350734,-0.1401327,-0.0011287709,-0.32918757,1452-KIOVK,0.10989841,0,0,contract_encoded
0.37105206,-0.6668116,0.65862346,0.02382546,0.0791387,0.16855663,1.2532123,0.13640195,0.21990328,0.95515764,-0.015622933,-0.19371499,-0.43342593,0.00031178037,-0.65091074,6713-OKOMC,0.8683675,1,0,phoneservice
-0.37078446,1.6733487,0.49557272,0.10602125,-0.26025265,0.123430125,-0.21728958,0.019912215,0.26378864,0.81321996,-0.030338775,0.15507948,0.3398766,-0.0011287709,-0.2649324,7892-POOKP,0.94408727,1,1,monthlycharges
-1.1331781,0.076617174,-0.37789375,0.031942476,0.12877363,-0.54695624,-0.13012494,0.10045279,-0.035204172,-1.071153,0.1832606,-0.27582365,0.12886558,-0.0005779126,-0.44019815,6388-TABGU,0.032916978,0,0,internetservice_encoded
-0.5736683,-0.5436951,-0.55929184,0.034526426,-0.2681456,-0.6326929,-0.24314906,-0.0045295665,-0.13205612,0.56743425,-0.28743607,-0.44628817,0.027540425,0.00049516826,-0.27036485,9763-GRSKD,0.033881467,0,0,contract_encoded
-0.42808947,-3.155366,-0.35966203,0.016121889,-0.0077870563,0.016562793,-0.21463107,0.04812286,-0.11456149,-2.5201223,1.0011982,-0.29225427,0.33666143,0.00031178037,-0.3848123,7469-LKBCI,0.0022888745,0,0,internetservice_encoded
-0.54110485,0.9384833,0.07917075,0.034449257,-0.13858563,0.17357378,-0.09992182,-0.12608287,-0.11378525,-0.5237064,-0.053552832,-1.0624684,0.43987408,-0.0005779126,-0.6924676,8091-TTVAX,0.15370952,0,0,monthlycharges
