customerid,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn,gender_encoded,contract_encoded,internetservice_encoded,paymentmethod_encoded,total_value,is_high_value,is_high_risk,avg_monthly_total,business_anomaly_score,is_business_anomaly
3655-SNQYZ,Female,0,1,1,69,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Credit card (automatic),113.25,7895.15,0,0,2,2,3,7814.25,1,0,114.42246376811592,-0.03235375901361648,1
0526-SXDJP,Male,0,1,0,72,0,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,0,Bank transfer (automatic),42.1,2962.0,0,1,2,1,2,3031.2000000000003,1,0,41.138888888888886,-0.004237294886168086,1
1679-JRFBR,Female,0,1,1,70,1,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,1,Credit card (automatic),108.15,7930.55,0,0,1,2,3,7570.5,1,0,113.29357142857144,-0.011138674607391819,1
9680-NIAUV,Female,0,1,1,72,1,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,0,Credit card (automatic),109.7,8129.3,0,0,2,2,3,7898.400000000001,1,0,112.90694444444443,-0.009676482052546787,1
7255-SSFBC,Male,0,1,1,72,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),112.25,8041.65,0,1,2,2,2,8082.0,1,0,111.68958333333332,-0.012786811997133385,1
6614-FHDBO,Male,0,0,0,72,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,0,Bank transfer (automatic),109.2,7878.3,0,1,2,2,2,7862.400000000001,1,0,109.42083333333332,-0.0011290495889624275,1
7017-VFHAY,Female,0,1,1,61,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Credit card (automatic),115.1,7008.15,0,0,2,2,3,7021.099999999999,1,0,114.88770491803278,-0.03597976952134374,1
6655-LHBYW,Male,0,0,0,50,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,0,Credit card (automatic),114.35,5791.1,0,1,1,2,3,5717.5,1,0,115.822,-0.023906619198315493,1
1950-KSVVJ,Female,0,1,0,45,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,0,Mailed check,113.3,5032.25,0,0,1,2,1,5098.5,1,0,111.82777777777778,-0.023312974739166048,1
1557-EMYVT,Female,0,0,0,43,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Credit card (automatic),115.05,4895.1,0,0,2,2,3,4947.15,1,0,113.83953488372094,-0.026809488619904176,1
3520-FJGCV,Male,0,1,1,72,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),112.6,8126.65,0,1,2,2,3,8107.2,1,0,112.87013888888887,-0.021024432549145766,1
4376-KFVRS,Male,0,1,1,72,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),114.05,8468.2,0,1,2,2,3,8211.6,1,0,117.6138888888889,-0.061512368817797425,1
0206-TBWLC,Female,0,1,0,54,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,1,Mailed check,114.65,6049.5,0,0,1,2,1,6191.1,1,0,112.02777777777776,-0.019043749394664133,1
1480-BKXGA,Male,1,1,0,72,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),116.05,8404.9,0,1,2,2,2,8355.6,1,0,116.73472222222222,-0.06906464562715542,1
2996-XAUVF,Male,0,0,0,70,0,No phone service,DSL,No,No,No,Yes,No,Yes,Two year,1,Mailed check,40.05,2799.75,0,1,2,1,1,2803.5,1,0,39.996428571428574,-0.0020514850996531386,1
5168-MQQCA,Female,0,1,0,72,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,1,Bank transfer (automatic),108.5,8003.8,0,0,1,2,2,7812.0,1,0,111.16388888888888,-0.0076693502713088835,1
4374-YMUSQ,Male,0,0,0,34,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,0,Credit card (automatic),116.25,3899.05,0,1,1,2,3,3952.5,1,0,114.6779411764706,-0.013281795278760278,1
8606-CIQUL,Male,1,1,1,72,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),115.75,8399.15,0,1,2,2,3,8334.0,1,0,116.6548611111111,-0.06500309280735328,1
6859-QNXIQ,Female,0,1,1,72,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),113.1,8248.5,0,0,2,2,2,8143.2,1,0,114.5625,-0.03674591967911944,1
3580-HYCSP,Male,0,1,1,72,1,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,1,Bank transfer (automatic),110.3,7966.9,0,1,2,2,2,7941.599999999999,1,0,110.65138888888887,-0.0006479784588775406,1
1352-HNSAW,Female,0,1,1,72,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),115.6,8220.4,0,0,2,2,2,8323.199999999999,1,0,114.17222222222222,-0.050324578158533306,1
6030-REHUX,Female,1,1,0,28,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,110.85,3204.4,0,0,0,2,0,3103.8,1,0,114.44285714285716,-0.00324950130304702,1
0619-OLYUR,Male,0,1,0,72,1,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),111.9,8071.05,0,1,2,2,3,8056.8,1,0,112.09791666666666,-0.012305549354143519,1
8207-DMRVL,Male,0,1,1,72,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Bank transfer (automatic),114.55,8306.05,0,1,2,2,2,8247.6,1,0,115.36180555555556,-0.055951691689802185,1
