customerid,tenure,monthlycharges,total_value,contract,churn
6734-GMPVK,5,105.3,526.5,Month-to-month,0
2369-UAPKZ,5,104.1,520.5,Month-to-month,1
9681-OXGVC,5,100.5,502.5,Month-to-month,1
4236-XPXAV,5,99.15,495.75,Month-to-month,1
4566-NECEV,5,96.55,482.75,Month-to-month,0
1010-DIAUQ,5,96.5,482.5,Month-to-month,1
7548-SEPYI,5,96.25,481.25,Month-to-month,1
0306-JAELE,5,96.1,480.5,Month-to-month,1
3387-VATUS,5,94.85,474.25,Month-to-month,1
4192-GORJT,5,94.45,472.25,Month-to-month,1
5380-AFSSK,5,93.9,469.5,Month-to-month,1
2462-XIIJB,5,92.5,462.5,Month-to-month,1
8414-MYSHR,5,91.4,457.0,Month-to-month,1
7330-WZLNC,5,90.8,454.0,Month-to-month,1
8212-DJRCH,5,90.35,451.75,Month-to-month,0
1624-NALOJ,5,89.8,449.0,Month-to-month,1
1724-BQUHA,5,89.5,447.5,Month-to-month,1
8481-YYXWG,5,89.35,446.75,Month-to-month,1
4853-OITSN,5,89.15,445.75,Month-to-month,0
5842-POCOP,5,88.9,444.5,Month-to-month,1
4439-JMPMT,5,85.75,428.75,Month-to-month,1
4395-PZMSN,5,85.55,427.75,Month-to-month,0
0876-WDUUZ,5,85.4,427.0,Month-to-month,1
6432-TWQLB,5,85.4,427.0,Month-to-month,1
2135-DQWAQ,5,85.3,426.5,Month-to-month,0
2952-QAYZF,5,85.3,426.5,Month-to-month,1
4548-SDBKE,5,85.2,426.0,Month-to-month,1
6060-DRTNL,5,84.85,424.25,Month-to-month,1
8242-SOQUO,5,84.7,423.5,Month-to-month,0
3932-CMDTD,4,105.65,422.6,One year,1
4919-IKATY,5,84.5,422.5,Month-to-month,1
8739-XNIKG,5,84.0,420.0,Month-to-month,0
5685-IIXLY,5,83.6,418.0,Month-to-month,1
6015-VVHHE,5,83.15,415.75,Month-to-month,1
6435-SRWBJ,5,82.75,413.75,Month-to-month,0
0702-PGIBZ,4,101.7,406.8,Month-to-month,1
4143-OOBWZ,5,81.3,406.5,Month-to-month,1
9095-HFAFX,5,81.0,405.0,Month-to-month,1
4795-KTRTH,5,81.0,405.0,Month-to-month,1
0880-TKATG,4,101.15,404.6,Month-to-month,1
6786-OBWQR,5,80.85,404.25,Month-to-month,0
6458-CYIDZ,5,80.7,403.5,Month-to-month,0
4132-KALRO,4,100.85,403.4,Month-to-month,0
7563-BIUPC,5,80.6,403.0,Month-to-month,1
6918-UMQCG,5,80.2,401.0,Month-to-month,0
2656-TABEH,4,100.2,400.8,Month-to-month,1
7693-LCKZL,5,80.15,400.75,Month-to-month,1
9696-RMYBA,5,80.1,400.5,Month-to-month,0
6941-PMGEP,5,80.0,400.0,Month-to-month,1
0495-ZBNGW,5,79.9,399.5,Month-to-month,1
5419-CONWX,4,99.8,399.2,Month-to-month,1
