customerid,tenure,monthlycharges,total_value,contract,internetservice
6734-GMPVK,5,105.3,526.5,Month-to-month,Fiber optic
4566-NECEV,5,96.55,482.75,Month-to-month,Fiber optic
8212-DJRCH,5,90.35,451.75,Month-to-month,Fiber optic
4853-OITSN,5,89.15,445.75,Month-to-month,Fiber optic
4395-PZMSN,5,85.55,427.75,Month-to-month,Fiber optic
2135-DQWAQ,5,85.3,426.5,Month-to-month,Fiber optic
8242-SOQUO,5,84.7,423.5,Month-to-month,Fiber optic
8739-XNIKG,5,84.0,420.0,Month-to-month,Fiber optic
6435-SRWBJ,5,82.75,413.75,Month-to-month,Fiber optic
6786-OBWQR,5,80.85,404.25,Month-to-month,Fiber optic
6458-CYIDZ,5,80.7,403.5,Month-to-month,Fiber optic
4132-KALRO,4,100.85,403.4,Month-to-month,Fiber optic
6918-UMQCG,5,80.2,401.0,Month-to-month,Fiber optic
9696-RMYBA,5,80.1,400.5,Month-to-month,Fiber optic
